ac_name,ac_no,district,winning_cand,party,Governor,Chief Minister,,,
Athoor,129,Dindigul,Periyasamy I,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Nilakkottai,130,Dindigul,S.Thenmozhi,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Natham,131,Dindigul,Natham.R.Viswanathan,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Dindigul,132,Dindigul,Sreenivasan.C,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vedasandur,133,Dindigul,Gandhirajan S,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Erode (East),98,Erode,"Thirumahan Everaa,e.",Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Erode (West),99,Erode,Muthusamy S,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Modakkurichi,100,Erode,Saraswathi.C,Bharatiya Janta Party,R. N. Ravi,M.K. Stalin,,,
Dharapuram,101,Erode,Kayalvizhi N,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kangayam,102,Erode,Saminathan.M.P,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Perundurai,103,Erode,"Jayakumar, S.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Bhavani,104,Erode,Karuppanan.K.C,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Anthiyur,105,Erode,Venkatachalam.A.G,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Gobichettipalayam,106,Erode,Sengottaiyan K.A,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Bhavanisagar,107,Erode,A.Bannari,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Shozhinganallur,27,Kancheepuram,S.Aravindramesh,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Alandur,28,Kancheepuram,T.M.Anbarasan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sriperumbudur,29,Kancheepuram,Selvaperunthagai,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Pallavaram,30,Kancheepuram,Karunanithi,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tambaram,31,Kancheepuram,Raja.S.R,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Chengalpattu,32,Kancheepuram,Varalakshmi.M,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruporur,33,Kancheepuram,S.S.Balaji,Viduthalai Chiruthaigal Katchi,R. N. Ravi,M.K. Stalin,,,
Cheyyur,34,Kancheepuram,Babu M,Viduthalai Chiruthaigal Katchi,R. N. Ravi,M.K. Stalin,,,
Madurantakam,35,Kancheepuram,Maragatham. K,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Uthiramerur,36,Kancheepuram,Sundar K,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kancheepuram,37,Kancheepuram,C.V.M.P. Ezhailzrasan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kanniyakumari,229,Kanniyakumari,Thalavai Sundaram N.,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Nagercoil,230,Kanniyakumari,Gandhi M.R.,Bharatiya Janta Party,R. N. Ravi,M.K. Stalin,,,
Colachal,231,Kanniyakumari,Prince J.G.,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Padmanabhapuram,232,Kanniyakumari,"Mano Thangaraj, T.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vilavancode,233,Kanniyakumari,Vijayadharani S,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Killiyoor,234,Kanniyakumari,Rajesh Kumar S,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Aravakurichi,134,Karur,Elango. R,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Karur,135,Karur,Senthilbalaji V,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Krishnarayapuram,136,Karur,Sivagama Sundari.K,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Uthangarai,51,Krishnagiri,T.M.Tamilselvam,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Bargur,52,Krishnagiri,Mathiazhagan D,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Krishnagiri,53,Krishnagiri,Ashokkumar.K,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Veppanahalli,54,Krishnagiri,K.P.Munusamy,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Hosur,55,Krishnagiri,Prakaash Y,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thalli,56,Krishnagiri,Ramachandran.T,Communist Party Of India,R. N. Ravi,M.K. Stalin,,,
Melur,188,Madurai,Periyapullan @ Selvam P.,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Madurai East,189,Madurai,Moorthy P,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sholavandan,190,Madurai,Venkatesan A,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Madurai North,191,Madurai,Thalapathi G,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Madurai South,192,Madurai,Boominathan.M,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Madurai Central,193,Madurai,Palanivel Thiaga Rajan,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Madurai West,194,Madurai,Raju. K,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thiruparankundram,195,Madurai,"Rajanchellappa, V.V.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Thirumangalam,196,Madurai,Udhayakumar R B,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Usilampatti,197,Madurai,Ayyappan P,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sirkazhi,160,Nagapattinam,Panneerselvam,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Mayiladuthurai,161,Nagapattinam,Rajakumar.S,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
