ac_name,ac_no,district,winning_cand,party,Governor,Chief Minister,,,
Tirupattur,50,Vellore,A. Nallathambi,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Gingee,70,Viluppuram,Masthan K S,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Mailam,71,Viluppuram,Sivakumar C,Pattali Makkal Katchi,R. N. Ravi,M.K. Stalin,,,
Tindivanam,72,Viluppuram,Arjunan P,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vanur,73,Viluppuram,Chakrapani M,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Villupuram,74,Viluppuram,Lakshmanan R,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Vikravandi,75,Viluppuram,Pugazhenthi N,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tirukkoyilur,76,Viluppuram,K.Ponmudy,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Ulundurpettai,77,Viluppuram,Manikannan A J,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Rishivandiyam,78,Viluppuram,Karthikeyan K,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sankarapuram,79,Viluppuram,Udhayasuriyan T,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Kallakurichi,80,Viluppuram,Senthilkumar.M,All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Rajapalayam,202,Virudhunagar,Thangapandian S.,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Srivilliputhur,203,Virudhunagar,"Manraj, E.M.",All India Anna Dravida Munnetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sattur,204,Virudhunagar,"Raghuraman, A.R.R.",Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Sivakasi,205,Virudhunagar,Ashokan.G,Indian National Congress,R. N. Ravi,M.K. Stalin,,,
Virudhunagar,206,Virudhunagar,Seenivasan A.R.R,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Aruppukkottai,207,Virudhunagar,K.K.S.S.R.Ramachandran,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
Tiruchuli,208,Virudhunagar,Thangam Thenarasu,Dravida Munetra Kazhagam,R. N. Ravi,M.K. Stalin,,,
